freq,items
0.61,182;57;145;18;24;?;?;?;?
0.48,56;69;22;170;147;7;?;?;?
0.41,182;25;24;147;7;?;?;?;?
0.5,182;56;57;3;170;24;?;?;?
0.49,11;69;145;170;7;?;?;?;?
0.49,57;18;147;7;?;?;?;?;?
0.46,25;17;170;24;147;?;?;?;?
0.49,11;56;94;?;?;?;?;?;?
0.41,29;17;18;170;17;?;?;?;?
0.43,5;18;24;17;?;?;?;?;?
0.69,145;18;24;?;?;?;?;?;?
0.5,56;69;5;145;18;24;?;?;?
0.46,56;145;147;17;?;?;?;?;?
0.43,11;69;3;145;22;147;?;?;?
0.57,11;29;22;18;170;?;?;?;?
0.4,11;145;22;18;7;?;?;?;?
0.41,182;11;56;69;3;22;?;?;?
0.49,56;5;3;22;170;147;?;?;?
0.46,182;25;17;170;24;?;?;?;?
0.44,182;56;5;3;22;170;147;?;?
0.41,11;56;57;18;24;7;?;?;?
0.45,11;56;27;81;?;?;?;?;?
0.46,56;29;25;22;147;?;?;?;?
0.41,11;25;24;143;?;?;?;?;?
0.49,56;29;5;145;?;?;?;?;?
0.42,56;25;18;7;?;?;?;?;?
0.4,69;3;145;18;170;24;?;?;?
0.52,11;56;63;18;147;?;?;?;?
0.42,29;57;12;?;?;?;?;?;?
0.51,11;25;17;22;147;?;?;?;?
0.4,182;27;24;?;?;?;?;?;?
0.44,11;56;25;22;170;24;147;?;?
0.6,29;145;22;24;?;?;?;?;?
0.41,182;11;56;145;22;170;24;?;?
0.4,11;56;22;170;143;?;?;?;?
0.43,63;22;147;17;?;?;?;?;?
0.47,56;5;22;17;?;?;?;?;?
0.44,56;25;63;22;24;147;?;?;?
0.55,57;3;18;170;147;?;?;?;?
0.41,182;56;57;147;17;?;?;?;?
0.42,182;29;170;24;7;?;?;?;?
0.41,57;145;18;147;7;143;?;?;?
0.5,11;29;69;170;147;?;?;?;?
0.43,182;11;69;145;22;170;24;147;?
0.44,11;57;22;143;?;?;?;?;?
0.46,29;17;7;143;?;?;?;?;?
0.43,56;69;145;24;7;143;?;?;?
0.41,29;63;27;94;81;?;?;?;?
0.52,182;11;56;145;18;?;?;?;?
0.59,25;17;18;170;?;?;?;?;?
0.41,182;17;5;145;22;?;?;?;?
0.63,29;5;145;24;?;?;?;?;?
0.54,11;56;5;22;24;147;?;?;?
0.45,56;69;5;22;18;170;?;?;?
0.4,11;29;18;147;143;?;?;?;?
0.48,11;29;28;81;?;?;?;?;?
0.43,182;56;5;94;81;?;?;?;?
0.44,29;22;24;147;7;?;?;?;?
0.43,182;11;56;5;18;147;?;?;?
0.66,182;3;145;22;?;?;?;?;?
0.42,182;29;63;5;22;170;?;?;?
0.45,11;29;22;18;24;147;?;?;?
0.41,182;145;22;170;147;17;?;?;?
0.42,3;145;18;7;?;?;?;?;?
0.45,3;18;170;17;?;?;?;?;?
0.42,182;63;143;?;?;?;?;?;?
0.44,29;3;145;170;24;147;?;?;?
0.41,69;145;18;170;147;143;?;?;?
0.5,56;5;88;81;?;?;?;?;?
0.49,182;57;5;145;18;147;?;?;?
0.63,182;63;18;147;?;?;?;?;?
0.44,56;3;170;143;?;?;?;?;?
0.44,29;17;57;?;?;?;?;?;?
0.43,69;170;17;143;?;?;?;?;?
0.56,29;69;22;170;147;?;?;?;?
0.63,182;56;57;145;170;147;?;?;?
0.7,56;3;145;22;?;?;?;?;?
0.4,11;29;147;143;?;?;?;?;?
0.42,11;57;145;18;147;17;?;?;?
0.42,182;56;18;170;147;7;?;?;?
0.49,182;56;69;145;26;?;?;?;?
0.41,11;56;5;3;18;24;?;?;?
0.4,25;17;3;?;?;?;?;?;?
0.61,56;145;22;170;24;147;?;?;?
0.47,5;145;94;81;?;?;?;?;?
0.57,182;56;57;5;145;18;?;?;?
0.43,11;56;69;18;17;?;?;?;?
0.48,25;5;18;?;?;?;?;?;?
0.45,56;29;5;170;?;?;?;?;?
0.47,11;25;63;22;170;24;147;?;?
0.65,56;5;145;22;18;?;?;?;?
0.4,11;25;27;81;?;?;?;?;?
0.47,29;25;5;18;?;?;?;?;?
0.51,11;69;5;22;147;?;?;?;?
0.4,69;3;18;7;?;?;?;?;?
0.63,69;5;22;?;?;?;?;?;?
0.42,56;5;145;22;147;143;?;?;?
0.42,11;29;18;143;?;?;?;?;?
0.52,29;57;22;18;?;?;?;?;?
0.61,182;5;145;22;170;24;?;?;?
0.4,57;5;22;18;24;?;?;?;?
0.47,56;3;170;17;?;?;?;?;?
0.72,145;22;170;147;?;?;?;?;?
0.49,11;63;3;?;?;?;?;?;?
0.43,182;56;57;5;145;18;170;24;?
0.44,11;94;22;?;?;?;?;?;?
0.41,29;25;24;7;143;?;?;?;?
0.42,182;57;27;?;?;?;?;?;?
0.45,182;56;170;17;?;?;?;?;?
0.62,182;29;25;63;22;?;?;?;?
0.41,11;57;22;147;7;143;?;?;?
0.49,56;57;22;18;24;147;?;?;?
0.41,56;57;3;28;81;?;?;?;?
0.42,3;18;170;143;?;?;?;?;?
0.6,57;5;18;170;?;?;?;?;?
0.86,182;56;57;?;?;?;?;?;?
0.49,182;57;5;170;147;?;?;?;?
0.49,11;56;25;22;170;24;?;?;?
0.41,56;5;145;22;170;17;143;?;?
0.62,11;56;5;145;170;147;?;?;?
0.44,182;56;5;145;24;7;?;?;?
0.68,182;29;145;18;?;?;?;?;?
0.42,56;5;145;147;7;143;?;?;?
0.46,11;63;170;7;?;?;?;?;?
0.46,69;5;18;24;147;?;?;?;?
0.55,11;56;17;18;170;?;?;?;?
0.62,56;69;5;145;18;?;?;?;?
0.44,11;29;63;28;?;?;?;?;?
0.45,3;145;22;18;24;?;?;?;?
0.4,27;94;147;?;?;?;?;?;?
0.43,57;3;28;?;?;?;?;?;?
0.56,56;3;145;22;24;?;?;?;?
0.46,57;145;170;17;?;?;?;?;?
0.41,3;145;147;7;?;?;?;?;?
0.5,69;145;12;81;?;?;?;?;?
0.62,182;5;145;18;170;147;?;?;?
0.65,182;63;147;?;?;?;?;?;?
0.43,11;145;28;88;81;?;?;?;?
0.55,69;22;18;24;?;?;?;?;?
0.41,182;56;5;145;143;?;?;?;?
0.63,182;29;63;22;147;?;?;?;?
0.52,11;25;63;22;18;?;?;?;?
0.48,182;11;5;145;18;24;?;?;?
0.52,56;69;5;145;18;147;?;?;?
0.43,11;63;94;81;?;?;?;?;?
0.43,57;145;170;143;?;?;?;?;?
0.42,5;17;7;?;?;?;?;?;?
0.57,182;57;5;22;170;?;?;?;?
0.48,182;5;145;81;?;?;?;?;?
0.62,182;29;69;145;22;?;?;?;?
0.42,11;56;69;5;145;22;18;?;?
0.43,182;11;29;63;18;147;?;?;?
0.41,56;5;145;18;170;24;7;?;?
0.44,29;145;170;7;?;?;?;?;?
0.43,11;56;17;22;18;170;?;?;?
0.44,56;29;17;170;147;?;?;?;?
0.43,29;57;81;?;?;?;?;?;?
0.48,182;69;145;7;?;?;?;?;?
0.41,3;147;17;143;?;?;?;?;?
0.41,11;63;22;143;?;?;?;?;?
0.42,11;29;63;28;81;?;?;?;?
0.41,29;25;69;145;18;?;?;?;?
0.41,182;29;25;145;18;170;?;?;?
0.43,182;69;143;?;?;?;?;?;?
